CustomerID,CustomerName,Gender,Age,City,State,Region,SignupDate
C00001,Aryan Maharaj,Male,32,Delhi,Delhi,North,2023-07-18
C00002,Udant Dewan,Male,55,Chennai,Tamil Nadu,South,2025-10-17
C00003,Gagan Sami,Male,32,Mumbai,Maharashtra,West,2022-07-11
C00004,Ayushman Chander,Male,63,Mumbai,Maharashtra,West,2025-02-23
C00005,Viraj Tiwari,Male,46,Noida,Uttar Pradesh,North,2024-05-09
C00006,Rushil Saini,Female,39,Delhi,Delhi,North,2022-11-23
C00007,Saumya Mall,Male,23,Coimbatore,Tamil Nadu,South,2023-11-21
C00008,Nathaniel Sami,Female,69,Ahmedabad,Gujarat,West,2023-12-06
C00009,Arunima Dugal,Male,42,Bengaluru,Karnataka,South,2025-01-03
C00010,Gayathri Chaudry,Female,54,Kochi,Kerala,South,2025-07-11
C00011,Lajita Chatterjee,Male,67,Unknown,Tamil Nadu,South,2022-04-04
C00012,Hemangini Lalla,Male,42,Chennai,Tamil Nadu,South,2023-04-22
C00013,Tripti Yadav,Female,40,Kochi,Kerala,South,2022-11-30
C00014,Kritika Brar,Male,56,Kochi,Kerala,South,2025-12-08
C00015,Janaki Handa,Male,47,Noida,Uttar Pradesh,North,2023-05-17
C00016,Chakradev Kari,Female,67,Nagpur,Maharashtra,West,2023-03-26
C00017,Fariq Kaul,Female,43,Jaipur,Rajasthan,North,2022-03-07
C00018,Lajita Mall,Female,31,Coimbatore,Tamil Nadu,South,2025-03-07
C00019,Janya Gaba,Female,27,Chandigarh,Chandigarh,North,2025-08-09
C00020,Isha Kadakia,Female,65,Coimbatore,Tamil Nadu,South,2025-02-23
C00021,Ekbal Garg,Female,32,Noida,Uttar Pradesh,North,2024-03-28
C00022,Nihal Shere,Female,23,Bhubaneswar,Odisha,East,2024-11-09
C00023,Anamika Kanda,Male,68,Delhi,Delhi,North,2022-11-10
C00024,Daksh Karnik,Female,42,Noida,Uttar Pradesh,North,2022-05-11
C00025,Diya Rattan,Female,53,Chandigarh,Chandigarh,North,2024-12-19
C00026,Dominic Kakar,Male,61,Kolkata,West Bengal,East,2025-10-25
C00027,Simon Tata,Female,25,Patna,Bihar,East,2025-08-05
C00028,Tara Dhar,Male,64,Coimbatore,Tamil Nadu,South,2024-07-18
C00029,Liam Koshy,Male,50,Patna,Bihar,East,2024-10-22
C00030,Priya Rastogi,Male,27,Patna,Bihar,East,2025-08-01
C00031,Theodore Devi,Male,56,Pune,Maharashtra,West,2025-01-09
C00032,Gavin Batta,Female,69,Mumbai,Maharashtra,West,2022-08-18
C00033,Michael Dutta,Male,23,Mumbai,Maharashtra,West,2023-05-09
C00034,Devansh Rajan,Male,26,Delhi,Delhi,North,2024-12-26
C00035,Upadhriti Wadhwa,Female,51,Noida,Uttar Pradesh,North,2022-12-05
C00036,Advay Contractor,Male,63,Guwahati,Assam,East,2023-03-10
C00037,Harini Choudhury,Female,25,Ahmedabad,Gujarat,West,2024-06-16
C00038,Radhika Dugar,Male,55,Chennai,Tamil Nadu,South,2023-11-24
C00039,Aarush Lall,Male,22,Nagpur,Maharashtra,West,2023-03-28
C00040,Yashica Cherian,Male,20,Delhi,Delhi,North,2023-04-14
C00041,Yashica Issac,Male,35,Kolkata,West Bengal,East,2024-11-18
C00042,Kashvi Edwin,Male,64,Jaipur,Rajasthan,North,2025-01-09
C00043,Ekiya Suresh,Female,33,Ranchi,Jharkhand,East,2025-03-26
C00044,Isaac Patil,Male,24,Chandigarh,Chandigarh,North,2023-01-25
C00045,Wriddhish Bhardwaj,Female,47,Lucknow,Uttar Pradesh,North,2024-05-17
C00046,Farhan Chada,Male,21,Kolkata,West Bengal,East,2025-10-11
C00047,Ekapad Walia,Male,30,Ahmedabad,Gujarat,West,2022-08-12
C00048,Kabir Soman,Female,29,Bengaluru,Karnataka,South,2022-10-15
C00049,Alka Wable,Female,69,Coimbatore,Tamil Nadu,South,2022-06-04
C00050,Siddharth Zacharia,Male,59,Ranchi,Jharkhand,East,2022-07-20
C00051,Devika Rastogi,Male,28,Kolkata,West Bengal,East,2022-07-11
C00052,Raksha Varughese,Female,21,Surat,Gujarat,West,2023-03-14
C00053,Jai Kota,Female,68,Chennai,Tamil Nadu,South,2024-03-10
C00054,Devansh Nigam,Female,27,Lucknow,Uttar Pradesh,North,2024-05-16
C00055,Victor Kannan,Male,65,Coimbatore,Tamil Nadu,South,2022-04-30
C00056,Ekavir Bhargava,Female,50,Mumbai,Maharashtra,West,2025-04-11
C00057,Ekansh Balay,Male,50,Ranchi,Jharkhand,East,2022-11-19
C00058,Ekavir Varkey,Male,61,Coimbatore,Tamil Nadu,South,2022-05-21
C00059,Arya Sunder,Male,55,Guwahati,Assam,East,2022-09-03
C00060,Kevin Solanki,Female,60,Noida,Uttar Pradesh,North,2022-06-17
C00061,Urvashi Ray,Female,31,Noida,Uttar Pradesh,North,2023-10-10
C00062,Girindra Chatterjee,Female,43,Lucknow,Uttar Pradesh,North,2023-05-04
C00063,Irya Sampath,Female,66,Kochi,Kerala,South,2024-07-25
C00064,Unni Bhagat,Male,22,Kolkata,West Bengal,East,2024-07-27
C00065,Darsh Rau,Male,40,Nagpur,Maharashtra,West,2023-06-28
C00066,Ikbal Kothari,Female,28,Bhubaneswar,Odisha,East,2024-01-27
C00067,Ranveer Yadav,Female,57,Nagpur,Maharashtra,West,2025-12-11
C00068,Logan Sami,Female,60,Ranchi,Jharkhand,East,2022-01-17
C00069,Arya Shere,Male,24,Coimbatore,Tamil Nadu,South,2023-06-26
C00070,Faqid Savant,Female,56,Jaipur,Rajasthan,North,2023-07-12
C00071,Chandresh Zachariah,Female,50,Kochi,Kerala,South,2023-02-21
C00072,Girik Khalsa,Female,35,Mumbai,Maharashtra,West,2022-07-09
C00073,Niharika Sunder,Female,28,Kochi,Kerala,South,2022-09-25
C00074,Tanay Rattan,Female,53,Noida,Uttar Pradesh,North,2025-12-16
C00075,Nitesh Raghavan,Male,52,Chennai,Tamil Nadu,South,2025-11-16
C00076,Madhavi Lanka,Male,45,Kochi,Kerala,South,2025-04-07
C00077,Bhavika Sampath,Male,40,Kochi,Kerala,South,2024-01-17
C00078,Mohammed Gupta,Male,40,Coimbatore,Tamil Nadu,South,2025-09-27
C00079,Teerth Bhardwaj,Male,33,Chandigarh,Chandigarh,North,2025-06-25
C00080,Dipta Bhandari,Male,29,Bhubaneswar,Odisha,East,2024-04-24
C00081,Vansha Thakkar,Male,35,Lucknow,Uttar Pradesh,North,2024-04-23
C00082,Dakshesh Trivedi,Male,48,Chennai,Tamil Nadu,South,2024-02-23
C00083,Quincy Biswas,Female,70,Bengaluru,Karnataka,South,2023-12-18
C00084,Wahab Raval,Male,60,Jaipur,Rajasthan,North,2023-04-02
C00085,Yatin Baral,Male,67,Kochi,Kerala,South,2023-07-25
C00086,Oni Virk,Female,19,Hyderabad,Telangana,South,2024-03-29
C00087,Advika Jayaraman,Female,20,Kochi,Kerala,South,2023-01-01
C00088,William Lanka,Female,45,Bengaluru,Karnataka,South,2023-12-09
C00089,Karan Mital,Female,54,Noida,Uttar Pradesh,North,2022-08-25
C00090,Diya Bora,Female,18,Chennai,Tamil Nadu,South,2025-12-22
C00091,Tara Chaudhry,Male,41,Nagpur,Maharashtra,West,2025-11-07
C00092,Tanay Toor,Female,60,Ahmedabad,Gujarat,West,2025-06-30
C00093,Kevin Palla,Female,60,Patna,Bihar,East,2024-11-04
C00094,Yash Pingle,Female,53,Surat,Gujarat,West,2025-11-28
C00095,Nakul Sarma,Female,61,Bengaluru,Karnataka,South,2025-09-23
C00096,Abhiram Mistry,Female,43,Jaipur,Rajasthan,North,2025-06-14
C00097,Krish Lalla,Female,31,Mumbai,Maharashtra,West,2023-09-15
C00098,Hredhaan Dugal,Female,47,Nagpur,Maharashtra,West,2025-05-27
C00099,Baghyawati Kade,Female,68,Pune,Maharashtra,West,2024-11-12
C00100,Samar Lalla,Male,36,Bhubaneswar,Odisha,East,2025-09-11
C00101,Zayan Behl,Male,70,Nagpur,Maharashtra,West,2023-11-18
C00102,Pallavi Malhotra,Female,32,Bhubaneswar,Odisha,East,2025-10-09
C00103,Aarush Nath,Male,33,Jaipur,Rajasthan,North,2022-02-20
C00104,Adweta Edwin,Female,44,Ranchi,Jharkhand,East,2022-05-30
C00105,Prisha Andra,Female,49,Ranchi,Jharkhand,East,2023-02-03
C00106,Faqid Dixit,Male,66,Pune,Maharashtra,West,2025-09-05
C00107,Kala Divan,Male,29,Kolkata,West Bengal,East,2024-05-20
C00108,Joshua Barman,Male,53,Noida,Uttar Pradesh,North,2024-08-09
C00109,Janya Baral,Male,69,Chennai,Tamil Nadu,South,2024-07-23
C00110,Shivansh Krish,Female,66,Nagpur,Maharashtra,West,2025-02-18
C00111,Irya Ray,Female,53,Ranchi,Jharkhand,East,2024-10-30
C00112,Warjas Gaba,Female,34,Pune,Maharashtra,West,2024-08-30
C00113,Nitara Bakshi,Female,58,Lucknow,Uttar Pradesh,North,2024-12-03
C00114,Gaurangi Sabharwal,Female,33,Bengaluru,Karnataka,South,2022-06-08
C00115,Amara Dutta,Male,26,Kochi,Kerala,South,2025-01-11
C00116,Lavanya Barad,Male,63,Bengaluru,Karnataka,South,2025-11-22
C00117,Tristan Iyengar,Female,52,Bengaluru,Karnataka,South,2024-04-14
C00118,Inaya Mody,Female,42,Mumbai,Maharashtra,West,2023-02-28
C00119,Udant Bajwa,Male,66,Ranchi,Jharkhand,East,2025-11-25
C00120,Mohini Narasimhan,Female,37,Surat,Gujarat,West,2022-01-13
C00121,Ekaraj Mallick,Male,49,Chandigarh,Chandigarh,North,2025-01-07
C00122,Yashodhara Ratta,Male,42,Bengaluru,Karnataka,South,2024-09-21
C00123,Ayaan D’Alia,Female,26,Surat,Gujarat,West,2022-12-05
C00124,Pranav Lanka,Female,55,Ranchi,Jharkhand,East,2022-02-25
C00125,Ikbal Saraf,Female,26,Mumbai,Maharashtra,West,2022-06-21
C00126,Dipta Sarin,Female,42,Bhubaneswar,Odisha,East,2022-04-13
C00127,Lekha Gupta,Female,66,Surat,Gujarat,West,2023-11-01
C00128,Chaitanya Sarin,Female,23,Patna,Bihar,East,2024-05-13
C00129,Zinal Yohannan,Female,32,Nagpur,Maharashtra,West,2022-04-17
C00130,Januja Sankar,Male,30,Delhi,Delhi,North,2022-03-05
C00131,Ganga Murthy,Male,26,Ranchi,Jharkhand,East,2022-11-09
C00132,Charita Tripathi,Male,47,Mumbai,Maharashtra,West,2025-03-01
C00133,Nilima Narain,Male,67,Lucknow,Uttar Pradesh,North,2022-12-10
C00134,Chakrika Datta,Male,37,Lucknow,Uttar Pradesh,North,2022-08-10
C00135,Osha Raghavan,Male,22,Surat,Gujarat,West,2024-03-23
